タイトル,所在地,緯度,経度,写真1,写真2,写真3,写真4,写真5,写真6,写真7,写真8,写真9,写真10,連絡先,分類,災害種別,備考
うずしおふれあい公園,鳴門市撫養町斎田,34.18114906,134.6025388,,,,,,,,,,,－,指定緊急避難所（法指定）,大規模な火事,
鳴門市総合運動場,鳴門市撫養町斎田字大池76,34.17770526,134.5954792,,,,,,,,,,,－,指定緊急避難所（法指定）,津波,
岩崎神社,鳴門市撫養町斎田字岩崎148-3裏,34.17722596,134.6004359,,,,,,,,,,,－,指定緊急避難所（法定外）,津波,
第15柴田マンション,鳴門市撫養町斎田字東発19-3,34.16994732,134.6044914,,,,,,,,,,,－,指定緊急避難所（法指定）,津波,
ホテルアド・イン鳴門,鳴門市撫養町斎田字大堤5-55,34.17708394,134.6092872,,,,,,,,,,,－,指定緊急避難所（法指定）,津波,
撫養小学校（校舎）,鳴門市撫養町斎田字岩崎72,34.17678216,134.6018307,,,,,,,,,,,088-685-1316,指定緊急避難所（法指定）,津波,
能路寺山,羽ノ浦町宮倉背戸田60,33.967866,134.624971,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
中村公会堂周辺,大林町字中村91-1,33.967638,134.615301,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
徳島通運（株）小松島支店駐車場,立江町字大田ノ浦11-12,33.977331,134.601241,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
ＪＡ東とくしまみはらしの丘あいさい広場,立江町字炭屋ヶ谷47-3,33.977576,134.601907,,,,,,,,,,,0885-38-0112,指定緊急避難所（法定外）,津波,
レオハウス徳島南店駐車場,江田町字大江田12-5,34.014223,134.561295,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
徳島乗馬倶楽部,新居見町字東山下32-1,33.993366,134.568438,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
旗山(3 箇所)神社境内,芝生町字宮ノ前,33.991836,134.583099,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
東山ノ神(バイパストンネル上)周辺,田野町字東山,33.980289,134.598527,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
恩山寺谷会堂,田野町字恩山寺谷,33.989181,134.581661,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
春日霊園付近,田野町字溝ノ木,33.977705,134.590979,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
天理教勝島分教会境内周辺,田野町字仮家107-2,33.980656,134.586409,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
住吉神社参道・赤石山登山道,田野町字金山,33.983883,134.604046,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
ちゃんこ屋・ラーメン屋駐車場,江田町字敷地前76-16、78-4,34.018301,134.558189,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
碩心館病院駐車場,江田町字大江田44-1,34.01433,134.56361,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
長楽苑温泉駐車場,中田町字東山7-2,34.018536,134.581811,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
日峯ドライブウェイ,中田町字東山,34.024085,134.58312,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
シャルムコハク,大林町字岩戸22-1,33.974284,134.613856,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
市営住宅和田島団地（1～12）,和田島町字明神東6-1,33.998085,134.643449,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
市営住宅太郎丸住宅（1～7）,坂野町字太郎丸5,33.972291,134.631435,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
コーポグランシャリオ,立江町字宮前28-1,33.972039,134.608116,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
市営住宅旗山団地,芝生町字西居屋敷86-1,33.991823,134.581283,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
市営住宅加藤西団地（1～6）,中郷町字加藤126-1,34.007457,134.570605,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
市営住宅加藤団地（3～5）,中郷町字加藤7-1,34.007102,134.571627,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
市営住宅加藤南団地1、2,小松島町字菖蒲田18-2,34.006533,134.572107,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
市営住宅豊ノ本団地（2～9）,中郷町字豊ノ本93-1,34.010257,134.575503,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
小松島団地県営住宅（1～3）,中郷町字西野1-29,34.012115,134.569184,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
メゾン朝日,中田町内開2-4,34.015037,134.581366,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
市営住宅日峰団地（1～5）,中田町字脇谷3-2,34.017589,134.588898,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
ハイランドマンション多田1、2、3,中田町字脇谷52-1,34.018405,134.587436,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
小松島市総合コミュニティーセンター,小松島町字新港36-24,34.011497,134.587742,,,,,,,,,,,0885-32-3533,指定緊急避難所（法定外）,津波,
金磯南雨水ポンプ場,金磯町字土手町地内,33.986465,134.60575,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
NTT 小松島電話交換所,日開野町井理守42-1,34.005556,134.583989,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
ラ・ヴィーダ,日開野町字高須33-1,34.002999,134.584419,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
宮城マンション,小松島町字今開7-5,34.002401,134.590904,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
コーポＶ,金磯町9-10,33.992711,134.604105,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
サンモール８８,金磯町5-42-6,33.995394,134.60258,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
協友ビルファーストインＫ５,金磯町1-100,33.997936,134.600726,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
ちゅうハイツ,横須町11-13,34.000989,134.595019,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
（有）ファーストインK K1、K2、K3,横須町1-56、57、58,34.001656,134.59225,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
小松島みなと合同庁舎,小松島町字外開1-11,34.010206,134.587653,,,,,,,,,,,0885-32-0326,指定緊急避難所（法定外）,津波,
ルピア屋上駐車場,小松島町字領田20,34.005338,134.571705,,,,,,,,,,,0885-33-3344,指定緊急避難所（法定外）,津波,
キョーエイ小松島店屋上駐車場,小松島町字若井崎10-1,34.012914,134.579802,,,,,,,,,,,0885-35-0080,指定緊急避難所（法定外）,津波,
ハーブメゾン清美,神田瀬町5-10,34.009777,134.578724,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
コミュニティセンター新開会館,赤石町6-60,33.982576,134.614191,,,,,,,,,,,0885-38-1931,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
新開小学校,大林町字中津37,33.978901,134.617796,,,,,,,,,,,0885-37-1102,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
コミュニティ交流センターみさき,和田島町字遠見73-11,34.007633,134.628096,,,,,,,,,,,,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
和田島漁業協同組合,和田島町字西浜手10-33,33.998116,134.632849,,,,,,,,,,,0885-37-1621,指定緊急避難所（法定外）,津波,
和田島公民館,和田島町字明神北129,33.99768,134.640326,,,,,,,,,,,0885-37-2723,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
和田島小学校,和田島町字山のはな8,33.996248,134.640326,,,,,,,,,,,0885-37-1911,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
目佐老人ルーム,坂野町字目佐83-1,33.967364,134.634077,,,,,,,,,,,0885-37-2225,指定緊急避難所（法指定）,崖崩れ等,
目佐厚生福祉解放センター,坂野町字目佐101,33.967161,134.633853,,,,,,,,,,,0885-37-0358,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
坂野小学校,坂野町字根上り6-1,33.981891,134.633138,,,,,,,,,,,0885-37-1512,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
櫛渕湯谷集会所,櫛渕町字湯谷52,33.958151,134.583504,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
喰味谷老人ルーム,櫛渕町字喰味谷101,33.95626,134.580299,,,,,,,,,,,0885-38-1073,指定緊急避難所（法定外）,津波,
櫛渕小学校,櫛渕町字北佃45,33.953791,134.584172,,,,,,,,,,,0885-37-1058,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
しらさぎ浄園,立江町字大田ノ浦67-1,33.977478,134.598784,,,,,,,,,,,0885-38-1452,指定緊急避難所（法指定）,"洪水,津波,内水反乱",
小松島市立武道館,立江町字赤石74-2,33.978972,134.606273,,,,,,,,,,,0885-38-1788,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
小松島市立体育館,立江町字赤石74-2,33.979399,134.605994,,,,,,,,,,,0885-38-1788,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
ふれあいセンター立江,立江町字黒岩78-1,33.975672,134.605104,,,,,,,,,,,0885-38-0334,指定緊急避難所（法指定）,崖崩れ等,
立江小学校,立江町字松本34-3,33.968812,134.604055,,,,,,,,,,,0885-37-1002,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
芝田多目的センター,芝生町字西居屋敷107-3,33.995254,134.580199,,,,,,,,,,,0885-32-4656,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
芝田小学校,田野町字中須45,33.985276,134.583313,,,,,,,,,,,0885-32-0212,指定緊急避難所（法指定）,"洪水,津波,内水反乱",
田浦地区コミュニティ集会所,田浦町字中村16-5,33.998629,134.555268,,,,,,,,,,,,指定緊急避難所（法定外）,津波,
児安小学校,田浦町字近里27,34.001959,134.564935,,,,,,,,,,,0885-32-0171,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
小松島西高等学校,中田町字原ノ下28-1,34.01513,134.577574,,,,,,,,,,,0885-32-0129,指定緊急避難所（法定外）,津波,
小松島厚生福祉解放センター,中郷町字加藤18-1,34.007922,134.571635,,,,,,,,,,,0885-32-5711,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
泰地総合センター,中郷町字桜馬場103-1,34.013112,134.57384,,,,,,,,,,,0885-33-0194,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
千代小学校,中田町字奥林29,34.015157,134.575224,,,,,,,,,,,0885-32-0109,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
みなと高等学園,中田町字新開28-1,34.015099,134.583144,,,,,,,,,,,0885-34-9100,指定緊急避難所（法定外）,津波,
生涯学習センター・市立図書館,小松島町字新港29-11,34.011546,134.586854,,,,,,,,,,,0885-32-1100,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
保健センター・ミリカホール,小松島町字新港9-10,34.010227,134.588594,,,,,,,,,,,0885-32-3551,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
北小松島小学校,中田町字浜田33,34.015593,134.586588,,,,,,,,,,,0885-32-0342,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
勤労青少年ホーム,南小松島町1-16,34.005774,134.591183,,,,,,,,,,,0885-33-3283,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
中央会館,松島町5-6,34.008736,134.585245,,,,,,,,,,,0885-32-2030,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
コミュニティ金磯会館,金磯町7-1,33.994825,134.603926,,,,,,,,,,,0885-32-9559,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
小松島高等学校,日開野町字高須47-1,34.004431,134.586897,,,,,,,,,,,0885-32-2166,指定緊急避難所（法定外）,津波,
小松島市総合福祉センター,横須町11-7,34.001218,134.593855,,,,,,,,,,,0885-33-2255,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
小松島中学校,日開野町字弥三次3-1,34.002741,134.576812,,,,,,,,,,,0885-32-2044,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
南小松島小学校,小松島町字高須36,34.005116,134.585502,,,,,,,,,,,0885-32-0149,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
小松島小学校,神田瀬町2-63,34.010106,134.58061,,,,,,,,,,,0885-32-0128,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
鳴門高等学校（校舎）,鳴門市撫養町斎田字岩崎135-1,34.17833337,134.6014123,,,,,,,,,,,088-685-3217,指定緊急避難所（法指定）,津波,
特別養護老人ホーム鳴優荘　　,鳴門市鳴門町土佐泊浦字黒山118-257,34.20654892,134.6258639,,,,,,,,,,,088-687-1007,指定緊急避難所（法指定）,津波,
桧西集会所,鳴門市大麻町桧字ダンノ上32-4,34.154025,134.491341,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
リューネの森集会所,鳴門市大麻町桧字中山田13-151,34.157768,134.492137,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
椎尾谷集会所,鳴門市大麻町桧字椎尾谷35-2,34.16821394,134.4939123,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
川原場集会所,鳴門市大麻町桧字コモガ池90-2,34.149218,134.496742,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
桧集会所,鳴門市大麻町桧字野神ノ北31－5,34.155732,134.496166,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
板東公民館,鳴門市大麻町板東字宝蔵103-1,34.154005,134.505269,,,,,,,,,,,088-689-3360,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,津波,内水反乱",
平草集会所,鳴門市大麻町板東字西平草62-12,34.164557,134.503756,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
霊山寺集会所,鳴門市大麻町板東字西山田32,34.159275,134.501667,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
共栄集会所,鳴門市大麻町板東字采女120-4,34.153053,134.50326,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
山田集会所,鳴門市大麻町板東字東山田57-2,34.157273,134.507348,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
大西集会所,鳴門市大麻町板東字采女48-7,34.155169,134.501705,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
舞姫会館,鳴門市大麻町板東字牛ノ宮東16-3,34.153186,134.510451,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
板東小学校（体育館）,鳴門市大麻町板東字宝蔵60,34.15629132,134.5039527,,,,,,,,,,,088-689-1222,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,津波,内水反乱",
板東連絡所,鳴門市大麻町板東字宝蔵65,34.156636,134.506174,,,,,,,,,,,088-689-1201,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
樋殿谷集会所,鳴門市大麻町板東字樋殿谷99-2,34.166874,134.509488,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
萩原団地集会所,鳴門市大麻町萩原字西山田68-35,34.157029,134.51061,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
萩原集会所,鳴門市大麻町萩原字アコメン11-3,34.154163,134.513404,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
津慈集会所,鳴門市大麻町津慈字宮ノ本150-4,34.14296001,134.5113764,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
川崎会館,鳴門市大麻町川崎字流レ466,34.140423,134.523731,,,,,,,,,,,088-689-0050,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
板東南ふれあいセンター（旧川崎幼稚園）庁舎,鳴門市大麻町川崎394,34.14225868,134.5206458,,,,,,,,,,,088-689-2767,指定緊急避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",
青少年会館,鳴門市大麻町三俣字前野22-1,34.14080883,134.5274003,,,,,,,,,,,088-689-3410,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
人権福祉センター,鳴門市大麻町三俣字前野18,34.140491,134.527894,,,,,,,,,,,088-689-2090,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
市場団地集会所,鳴門市大麻町三俣字前野9-3,34.14124207,134.5277221,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
医王集会所,鳴門市大麻町市場字大道34-1,34.13507,134.533998,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
東馬詰集会所,鳴門市大麻町東馬詰字諏訪の元74-1,34.145464,134.552897,,,,,,,,,,,－,指定緊急避難所（法指定）,"崖崩れ等,内水反乱",
馬詰集会所,鳴門市大麻町中馬詰字居屋敷18-5,34.141983,134.540892,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
堀江南小学校（体育館）,鳴門市大麻町西馬詰字橋ノ本7,34.1447265,134.541471,,,,,,,,,,,088-689-0014,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
高畑集会所,鳴門市大麻町高畑字居屋敷127-2,34.153761,134.531305,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
池谷集会所,鳴門市大麻町池谷字長田103-2,34.156398,134.528055,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
大谷集会所,鳴門市大麻町大谷字椢原14,34.166838,134.54028,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
堀江公民館,鳴門市大麻町大谷字道の上24,34.161532,134.540036,,,,,,,,,,,088-689-0040,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
堀江北小学校（体育館）,鳴門市大麻町大谷字中筋41,34.16034487,134.541486,,,,,,,,,,,088-689-0016,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,津波,内水反乱",
姫田集会所,鳴門市大麻町姫田字森崎57-2,34.159949,134.546094,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,内水反乱",
小森集会所,鳴門市大麻町姫田字東百地1-4,34.164217,134.559734,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",
長浜集会所,鳴門市北灘町大須字長浜5-3,34.206785,134.442717,,,,,,,,,,,－,指定緊急避難所（法指定）,"崖崩れ等,内水反乱",
大須集会所,鳴門市北灘町大須字西添25,34.20509,134.451271,,,,,,,,,,,－,指定緊急避難所（法指定）,"崖崩れ等,内水反乱",
西條集会所,鳴門市北灘町折野字屋敷379-1,34.21353035,134.4831464,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,地震,内水反乱",
三津集会所,鳴門市北灘町折野字三津260-2,34.20676,134.46326,,,,,,,,,,,－,指定緊急避難所（法指定）,"崖崩れ等,内水反乱",
北灘西小学校（体育館）,鳴門市北灘町折野字屋敷64-3,34.21393597,134.4833472,,,,,,,,,,,088-682-0024,指定緊急避難所（法指定）,"崖崩れ等,地震,津波,内水反乱",
北條集会所,鳴門市北灘町折野字屋敷154-1,34.216496,134.484895,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,内水反乱",
川筋集会所,鳴門市北灘町折野字川筋33-4,34.194579,134.476025,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,内水反乱",
東地集会所,鳴門市北灘町折野字上東地122-2,34.21852713,134.4881102,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,内水反乱",
鳥ヶ丸集会所,鳴門市北灘町鳥ヶ丸字トノムラ60-2,34.224633,134.512576,,,,,,,,,,,－,指定緊急避難所（法指定）,地震,
北灘東小学校（体育館）,鳴門市北灘町粟田字西傍示228-1,34.22459047,134.5406287,,,,,,,,,,,088-682-0222,指定緊急避難所（法指定）,"地震,津波",
張集会所,鳴門市北灘町櫛木字中田14-2,34.204946,134.563983,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,内水反乱",
櫛木集会所,鳴門市北灘町櫛木字中末83-3,34.21158,134.55861,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,地震,内水反乱",
大津団地集会所,鳴門市大津町矢倉字西の越2-2,34.146558,134.591277,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",
鳴門渦潮高等学校（体育館）,鳴門市大津町吉永595,34.16461483,134.6012198,,,,,,,,,,,088-686-4565,指定緊急避難所（法指定）,"地震,津波",
第一小学校（体育館）,鳴門市大津町木津野字内田11,34.16862503,134.5930297,,,,,,,,,,,088-685-1301,指定緊急避難所（法指定）,地震,
備前島集会所,鳴門市大津町備前島字荒神の越164-3,34.162431,134.579344,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",
段関野崎集会所,鳴門市大津町段関字沖野21-6,34.152576,134.5692967,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,地震,内水反乱",
段関集会所,鳴門市大津町段関字西53-2、53-3,34.16147515,134.5643855,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,地震,内水反乱",
大代山路集会所（高台）,鳴門市大津町大代997-1,34.17073203,134.5663025,,,,,,,,,,,－,指定緊急避難所（法指定）,津波,
大津西小学校（体育館）,鳴門市大津町大代1210,34.16690977,134.5669454,,,,,,,,,,,088-686-3509,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,地震,内水反乱",
大代集会所,鳴門市大津町大代1213-2,34.166206,134.567078,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,地震,内水反乱",
大代前場集会所,鳴門市大津町大代1133-1,34.168445,134.567538,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",
大津中央公民館,鳴門市大津町大代679-2,34.166346,134.570804,,,,,,,,,,,088-686-5569,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",
大幸集会所,鳴門市大津町大幸字若宮の元14,34.153921,134.554882,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",
撫佐集会所,鳴門市瀬戸町撫佐字本村62-2,34.2338901,134.6099541,,,,,,,,,,,－,指定緊急避難所（法指定）,"崖崩れ等,地震,内水反乱",
室撫佐漁業協同組合,鳴門市瀬戸町執事本村６４１－１,34.24310796,134.6171446,,,,,,,,,,,088-688-0591,指定緊急避難所（法指定）,"崖崩れ等,内水反乱",
小島田集会所,鳴門市瀬戸町小島田字通り1-3,34.227815,134.594927,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,内水反乱",
島田小学校（体育館）,鳴門市瀬戸町中島田字北田36,34.23847717,134.5964942,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,内水反乱",
小海集会所,鳴門市瀬戸町北泊字小海287-1,34.222266,134.568392,,,,,,,,,,,－,指定緊急避難所（法指定）,"崖崩れ等,地震,内水反乱",
北泊漁業協同組合（北泊漁民センター）,鳴門市瀬戸町北泊字北泊209-6,34.2391465,134.5875503,,,,,,,,,,,088-688-0131,指定緊急避難所（法指定）,"崖崩れ等,地震,内水反乱",
北泊公民館,鳴門市瀬戸町北泊字北泊103,34.237231,134.589351,,,,,,,,,,,,指定緊急避難所（法指定）,"崖崩れ等,内水反乱",
日出集会所,鳴門市瀬戸町堂浦字日出3-2,34.226806,134.573156,,,,,,,,,,,－,指定緊急避難所（法指定）,"崖崩れ等,地震,内水反乱",
堂浦ふれあい会館,鳴門市瀬戸町堂浦字地廻り弐266,34.218997,134.587318,,,,,,,,,,,088-688-0530,指定緊急避難所（法指定）,"崖崩れ等,内水反乱",
瀬戸公民館,鳴門市瀬戸町堂浦字地廻り壱86-4,34.215351,134.58341,,,,,,,,,,,088-688-0485,指定緊急避難所（法指定）,"崖崩れ等,地震,内水反乱",
瀬戸中学校（体育館）,鳴門市瀬戸町堂浦字地廻り壱96-4,34.21501077,134.5842854,,,,,,,,,,,088-688-0033,指定緊急避難所（法指定）,"崖崩れ等,地震,内水反乱",
明神菅谷集会所,鳴門市瀬戸町堂浦字本浦中32-2,34.205432,134.573454,,,,,,,,,,,－,指定緊急避難所（法指定）,地震,
明神越浦集会所,鳴門市瀬戸町明神字越浦334-7,34.202938,134.583965,,,,,,,,,,,－,指定緊急避難所（法指定）,"崖崩れ等,地震,内水反乱",
明神集会所,鳴門市瀬戸町明神字下本城242,34.208262,134.578845,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,内水反乱",
明神小学校（体育館）,鳴門市瀬戸町明神字越浦70,34.20193087,134.5803949,,,,,,,,,,,088-688-0532,指定緊急避難所（法指定）,地震,
鳴門東地区コミュニティセンター,鳴門市鳴門町土佐泊浦字脇口23-3,34.192833,134.623252,,,,,,,,,,,088-687-0993,指定緊急避難所（法指定）,"高潮,崖崩れ等,内水反乱",
花見山・心の手紙館,鳴門市鳴門町土佐泊浦字大毛234-35,34.21770218,134.6264056,,,,,,,,,,,088-687-3555,指定緊急避難所（法指定）,"高潮,崖崩れ等,地震,内水反乱",
大毛集会所,鳴門市鳴門町土佐泊浦字大毛122,34.225389,134.632366,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,内水反乱",
黒山集会所,鳴門市鳴門町土佐泊浦字黒山118-295,34.20991279,134.6243347,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,内水反乱",
野集会所,鳴門市鳴門町土佐泊浦字高砂181-2,34.20050487,134.6227872,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,内水反乱",
鳴門中学校（体育館）,鳴門市鳴門町三ツ石字芙蓉山下251,34.20288904,134.6098566,,,,,,,,,,,088-687-1153,指定緊急避難所（法指定）,"高潮,崖崩れ等,地震,内水反乱",
高島団地集会所,鳴門市鳴門町高島字北384,34.20678869,134.5941319,,,,,,,,,,,－,指定緊急避難所（法指定）,"高潮,崖崩れ等,地震,内水反乱",
鳴門公民館,鳴門市鳴門町高島字北86,34.203859,134.59611,,,,,,,,,,,088-687-1528,指定緊急避難所（法指定）,"高潮,崖崩れ等,地震,内水反乱",
鳴門教育大学（陸上競技場）,鳴門市鳴門町高島字中島748,34.20536911,134.6054149,,,,,,,,,,,088-687-6000,指定緊急避難所（法指定）,大規模な火事,
鳴門西小学校（体育館）,鳴門市鳴門町高島字北217,34.20300001,134.5970715,,,,,,,,,,,088-687-1152,指定緊急避難所（法指定）,"高潮,崖崩れ等,地震,内水反乱",
里浦北集会所,鳴門市里浦町里浦字坂田415-5,34.177064,134.629683,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,地震,内水反乱",
里浦小学校（体育館）,鳴門市里浦町里浦字西浜401,34.16683435,134.6261856,,,,,,,,,,,088-686-0236,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,地震,内水反乱",
里浦集会所,鳴門市里浦町里浦字花面350-2,34.173567,134.626358,,,,,,,,,,,－,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",
里浦農業協同組合,鳴門市里浦町里浦字花面233-1,34.175588,134.624888,,,,,,,,,,,088-685-2111,指定緊急避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",
